	author	publication	summary	title
1	Suzanna Andrews	Vanity Fair	The secret history of the Wildensteins, the art world&#8217;s richest and most powerful family, whose legendary vaults likely include counterfeits and works stolen by the Nazis.	Bitter Spoils
2	Justin Heckert	Men&#x27;s Journal	Swept out to sea by a riptide, a father and his 12-year-old autistic son struggle to stay alive. As night falls, the dad comes to a devastating realization: If they remain together, they’ll drown together.	Lost in the Waves
3	Ed Peto	The Register	As labels big and small attempt to gain traction in the world&#8217;s largest market, they&#8217;re learning that selling pop is never simple in the epicenter of piracy.	Inside the music business in China
4	Sheri Fink	New York Times	Katrina&#8217;s floodwaters had knocked out the power. Evacuation of the sickest patients seemed impossible. So the doctors at Memorial did what they thought was right, even if they knew it was a crime.	A Hospital’s Deadly Choice
5	Kevin Gray	Details	When Nazi-sympathizing politician Jorg Haider died in a crash, his 27-year-old protégé Stefan Petzner was left to lead the Austrian far right—and to mourn the boss who he revealed was also his lover.	The fascist who loved me
6	Jeffrey Goldberg	New Yorker	The inside story of how an ABC nature shoot in Africa end up producing  a snuff film.	The Hunted
7	Tom Bissell	The Guardian	Tom Bissell was an acclaimed young writer when he started playing Grand Theft Auto. For the last three years he has been sleep deprived, cocaine fueled, and barely able to write a word—and he has no regrets.	Video games: the addiction
8	Vanessa Grigoriadis	New York	From Stefani Joanne Germanotta to Lady Gaga: the self-invented, manufactured, accidental, totally on-purpose creation of the world’s biggest pop star.	Growing up Gaga
9	John Larrabee	Boston Phoenix	Jeff Mailhot, convicted serial killer, has joined several infamous criminals in a second career from behind bars: paid artist. His first piece? An outline of his left hand, available for $34.99.	Murderabilia
10	Rick Bragg	New York Times	For Gangaram Mahes, Rikers Island was the only chance for three squares and a &#8220;decent life.&#8221; So Mahes committed the same crime 31 straight times: refusing to pay the check at New York City restaurants.	A Thief Dines Out, Hoping Later to Eat In
11	Robert Kaplan	The Atlantic	In trailers just minutes from the Vegas Strip, Air Force pilots control predators over Iraq and Afghanistan. A case study in the marvels—and limits—of modern military technology.	Hunting the Taliban in Vegas
12	Jeff Gordinier	Details	Matthew Roberts was a fledgling musician in L.A., DJing at a strip club and prone to nightmares. But when he learned Charles Manson might be his biological father, his whole life suddenly made sense.	Manson’s Biological Family
13	Dave Jamieson	Washington City Paper	Thomas Sweatt torched D.C. for decades and was finally jailed for killing one person. During a year-long correspondence from prison with a reporter, he confessed there were more.	Letters From an Arsonist
14	Lisa Taddeo	New York	Celebrity, bottle service, and Tiger Woods&#8217; unintentional introduction of &#8220;halfway hooker&#8221; into the American lexicon.	Rachel Uchitel Is Not a Madam
15	Joshuah Bearman	Wired	Gerald Blanchard, the world&#8217;s most ingenious thief, made his first swipe at age six. And he didn&#8217;t stop, robbing banks and stealing jewels around the world until a pair of obsessed Winnipeg cops took his case.	Art of the Steal
16	Nancy Franklin	New Yorker	A review ofTreme, the new HBO show about post-Katrina New Orleans from David Simon, creator ofThe Wire. &#8220;The series virtually prohibits you from loving it,&#8221; Franklin writes, &#8220;while asking you to value it.&#8221;	After the Flood
17	Stephanie Clifford	New York Times	David Remnick, editor of theNew Yorker, has written a new Obama biography expected to be a best-seller. His frugal streak has kept his staff intact. And yet, after a dozen years, he&#8217;s still the new guy at Condé Nast.	Making It Look Easy at the New Yorker
